"livreID","ASIN","Titre","DetailPage","ImgLivre","EAN","ISBN","DescriptionSource","Description"
"14","2070366405","Vies des douze Césars","https://www.amazon.fr/Vies-douze-C%C3%A9sars-Su%C3%A9tone/dp/2070366405?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&l","https://images-eu.ssl-images-amazon.com/images/I/51iubKyFlOL.jpg","9782070366408","2070366405","NULL","NULL"
"15","2070116840","Œuvres complètes","https://www.amazon.fr/x152-uvres-compl%C3%A8tes-Virgile/dp/2070116840?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&lin","https://images-eu.ssl-images-amazon.com/images/I/411WB75SOIL.jpg","9782070116843","2070116840","NULL","NULL"
"16","2070383458","Énéide","https://www.amazon.fr/%C3%89n%C3%A9ide-Virgile/dp/2070383458?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2","https://images-eu.ssl-images-amazon.com/images/I/51E%2BIbu%2B-PL.jpg","9782070383450","2070383458","NULL","NULL"
"17","2081293048","L'Iliade","https://www.amazon.fr/LIliade-Hom%C3%A8re/dp/2081293048?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&camp","https://images-eu.ssl-images-amazon.com/images/I/51R7o-%2BHQfL.jpg","9782081293045","2081293048","NULL","NULL"
"18","2070409120","Odyssée","https://www.amazon.fr/Odyss%C3%A9e-Hom%C3%A8re/dp/2070409120?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2","https://images-eu.ssl-images-amazon.com/images/I/51258geKXYL.jpg","9782070409129","2070409120","NULL","NULL"
"19","2070465438","Œdipe roi/Le mythe d'Œdipe","https://www.amazon.fr/x152-dipe-roi-mythe/dp/2070465438?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&camp","https://images-eu.ssl-images-amazon.com/images/I/41PiSq3vLaL.jpg","9782070465439","2070465438","NULL","NULL"
"20","2070373150","Guerre des Gaules","https://www.amazon.fr/Guerre-Gaules-Jules-C%C3%A9sar/dp/2070373150?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCo","https://images-eu.ssl-images-amazon.com/images/I/418LF5HekxL.jpg","9782070373154","2070373150","NULL","NULL"
"21","2846812861","Prométhée enchaîné","https://www.amazon.fr/Prom%C3%A9th%C3%A9e-encha%C3%AEn%C3%A9-Eschyle/dp/2846812861?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=arton","https://images-eu.ssl-images-amazon.com/images/I/51gesXXKzzL.jpg","9782846812863","2846812861","NULL","NULL"
"22","2253129992","Quand notre monde est devenu chrétien","https://www.amazon.fr/Quand-notre-monde-devenu-chr%C3%A9tien/dp/2253129992?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-2","https://images-eu.ssl-images-amazon.com/images/I/51p1L%2B8AX%2BL.jpg","9782253129998","2253129992","NULL","NULL"
"23","2221132998","Oeuvres complètes","https://www.amazon.fr/Oeuvres-compl%C3%A8tes-TACITE/dp/2221132998?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCod","https://images-eu.ssl-images-amazon.com/images/I/515flM8L58L.jpg","9782221132999","2221132998","NULL","NULL"
"24","2251014527","Instructions","https://www.amazon.fr/Instructions-Commodien/dp/2251014527?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&c","https://images-eu.ssl-images-amazon.com/images/I/41vXvhFVEwL.jpg","9782251014524","2251014527","NULL","NULL"
"25","2251799656","Satiricon","https://www.amazon.fr/Satiricon-P%C3%A9trone/dp/2251799656?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&c","https://images-eu.ssl-images-amazon.com/images/I/5111WEMYQML.jpg","9782251799650","2251799656","NULL","NULL"
"26","286959285X","Manuel de campagne électorale","https://www.amazon.fr/Manuel-campagne-%C3%A9lectorale-Quintus-Cic%C3%A9ron/dp/286959285X?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag","https://images-eu.ssl-images-amazon.com/images/I/41wKBRwE4rL.jpg","9782869592858","286959285X","NULL","NULL"
"27","2072698324","Les plus belles pages de la littérature grecque et latine : Coffret en 5 volumes : Poésie ; Théâtre ; Philosophie et éloquence ;","https://www.amazon.fr/belles-pages-litt%C3%A9rature-grecque-latine/dp/2072698324?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonau","https://images-eu.ssl-images-amazon.com/images/I/51-WElxsidL.jpg","9782072698323","2072698324","NULL","NULL"
"28","2080700189","Théâtre complet : Ajax ; Antigone ; Electre ; Oedipe roi ; Les trachiniennes ; Philoctète ; Oedipe à colone ; Les limiers","https://www.amazon.fr/Th%C3%A9%C3%A2tre-complet-Antigone-trachiniennes-Philoct%C3%A8te/dp/2080700189?SubscriptionId=AKIAJGGEZEDC","https://images-eu.ssl-images-amazon.com/images/I/51NH-VcL%2BBL.jpg","9782080700186","2080700189","NULL","NULL"
"29","2070376516","L'Enquête (Livres I à IV)","https://www.amazon.fr/LEnqu%C3%AAte-Livres-I-%C3%A0-IV/dp/2070376516?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&link","https://images-eu.ssl-images-amazon.com/images/I/51XSz5PKjoL.jpg","9782070376513","2070376516","NULL","NULL"
"30","2253129127","Petites leçons sur le grec ancien","https://www.amazon.fr/Petites-le%C3%A7ons-sur-grec-ancien/dp/2253129127?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&l","https://images-eu.ssl-images-amazon.com/images/I/41suzv%2B9SBL.jpg","9782253129127","2253129127","NULL","NULL"
"31","2251014292","Histoire de la persécution vandale en Afrique, suivi de 'La Passion des sept martyrs' et 'Registre des provinces et des cités d'","https://www.amazon.fr/Histoire-pers%C3%A9cution-Registre-provinces-dAfrique/dp/2251014292?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&ta","https://images-eu.ssl-images-amazon.com/images/I/412L-3cQR4L.jpg","9782251014296","2251014292","NULL","NULL"
"32","2070366294","L'Ane d'or ou Les métamorphoses","https://www.amazon.fr/LAne-dor-ou-m%C3%A9tamorphoses-Apul%C3%A9e/dp/2070366294?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonaute","https://images-eu.ssl-images-amazon.com/images/I/61AO6Tcd4ZL.jpg","9782070366293","2070366294","NULL","NULL"
"33","2130625673","Histoire de la littérature grecque","https://www.amazon.fr/Histoire-litt%C3%A9rature-grecque-Suzanne-Sa%C3%AFd/dp/2130625673?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=","https://images-eu.ssl-images-amazon.com/images/I/31wSjOS5wlL.jpg","9782130625674","2130625673","NULL","NULL"
"34","2251005587","Histoire romaine. Tome X, Livre XV: Guerres civiles, Livre III: (Années 44-43)","https://www.amazon.fr/Histoire-romaine-Livre-XV-Guerres/dp/2251005587?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&lin","https://images-eu.ssl-images-amazon.com/images/I/31NkjANCywL.jpg","9782251005584","2251005587","NULL","NULL"
"35","2251000720","Bucoliques grecs : Théocrite, tome 1","https://www.amazon.fr/Bucoliques-grecs-Th%C3%A9ocrite-Ph-Legrand/dp/2251000720?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonaute","https://images-eu.ssl-images-amazon.com/images/I/317msEHIW2L.jpg","9782251000725","2251000720","NULL","NULL"
"36","2130630383","La tragédie grecque","https://www.amazon.fr/trag%C3%A9die-grecque-Jacqueline-Romilly/dp/2130630383?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr","https://images-eu.ssl-images-amazon.com/images/I/51FlrJvK31L.jpg","9782130630388","2130630383","NULL","NULL"
"37","2070382230","L'Enquête. Livres V à IX","https://www.amazon.fr/LEnqu%C3%AAte-Livres-V-%C3%A0-IX/dp/2070382230?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&link","https://images-eu.ssl-images-amazon.com/images/I/51JAU%2Bo5wQL.jpg","9782070382231","2070382230","NULL","NULL"
"38","2213704570","Virgile, notre vigie","https://www.amazon.fr/Virgile-notre-vigie-Xavier-Darcos/dp/2213704570?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&lin","https://images-eu.ssl-images-amazon.com/images/I/314bMz%2BX5TL.jpg","9782213704579","2213704570","NULL","NULL"
"39","2266246755","Iliade","https://www.amazon.fr/Iliade-HOMERE/dp/2266246755?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&camp=2025&","https://images-eu.ssl-images-amazon.com/images/I/41cwf6qk7UL.jpg","9782266246750","2266246755","NULL","NULL"
"40","2290346853","Antigone","https://www.amazon.fr/Antigone-Sophocles/dp/2290346853?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&camp=","https://images-eu.ssl-images-amazon.com/images/I/51bbg%2BjkMCL.jpg","9782290346853","2290346853","NULL","NULL"
"41","2251799680","Satires","https://www.amazon.fr/Satires-Juvenal/dp/2251799680?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&camp=202","https://images-eu.ssl-images-amazon.com/images/I/41EAGS4JBVL.jpg","9782251799681","2251799680","NULL","NULL"
"42","2130627781","Précis de littérature grecque","https://www.amazon.fr/Pr%C3%A9cis-litt%C3%A9rature-grecque-Jacqueline-Romilly/dp/2130627781?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&","https://images-eu.ssl-images-amazon.com/images/I/41OAJ4xDOYL.jpg","9782130627784","2130627781","NULL","NULL"
"43","2251446850","Jouer avec les mots","https://www.amazon.fr/Jouer-avec-mots-Lucien/dp/2251446850?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&c","https://images-eu.ssl-images-amazon.com/images/I/414-0I8rTDL.jpg","9782251446851","2251446850","NULL","NULL"
"44","2251001824","Guerre des Juifs. Tome III : Livres IV et V","https://www.amazon.fr/Guerre-Juifs-III-Livres-IV/dp/2251001824?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=x","https://images-eu.ssl-images-amazon.com/images/I/31rQo1quwXL.jpg","9782251001821","2251001824","NULL","NULL"
"45","2221058542","Histoire de la guerre du Péloponnèse précédé de 'La Campagne de Thucydide' par Albert Thibaudet","https://www.amazon.fr/Histoire-P%C3%A9loponn%C3%A8se-Campagne-Thucydide-Thibaudet/dp/2221058542?SubscriptionId=AKIAJGGEZEDCGVLJY","https://images-eu.ssl-images-amazon.com/images/I/413DDAQ6AVL.jpg","9782221058541","2221058542","NULL","NULL"
"46","2070381919","Tragédies complètes (Tome 1)","https://www.amazon.fr/Trag%C3%A9dies-compl%C3%A8tes-1-Euripide/dp/2070381919?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr","https://images-eu.ssl-images-amazon.com/images/I/51Wb5J5O5hL.jpg","9782070381913","2070381919","NULL","NULL"
"47","2070105679","Eschyle - Sophocle : Tragiques grecs","https://www.amazon.fr/Eschyle-Sophocle-Tragiques-grecs/dp/2070105679?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&link","https://images-eu.ssl-images-amazon.com/images/I/31M%2BeIZJnhL.jpg","9782070105670","2070105679","NULL","NULL"
"48","2253132462","Les tragiques grecs : Théâtre complet","https://www.amazon.fr/tragiques-grecs-Th%C3%A9%C3%A2tre-complet/dp/2253132462?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautef","https://images-eu.ssl-images-amazon.com/images/I/51XpShgQSUL.jpg","9782253132462","2253132462","NULL","NULL"
"49","2253066648","La description du monde","https://www.amazon.fr/description-du-monde-Marco-Polo/dp/2253066648?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkC","https://images-eu.ssl-images-amazon.com/images/I/41YCT4dCfbL.jpg","9782253066644","2253066648","NULL","NULL"
"50","2081351234","La bibliothèque idéale des 50 ans GF, Tome 14 : Fables : Edition bilingue français-grec ancien","https://www.amazon.fr/biblioth%C3%A8que-id%C3%A9ale-50-ans-fran%C3%A7ais-grec/dp/2081351234?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&","https://images-eu.ssl-images-amazon.com/images/I/41IEq8K0frL.jpg","9782081351233","2081351234","NULL","NULL"
"51","2340005973","Logos Vocabulaire Grec Ancien 50 Fiches Thématiques & Exercices Ludiques et Corrigés pour Débuter","https://www.amazon.fr/Vocabulaire-Th%C3%A9matiques-Exercices-Ludiques-Corrig%C3%A9s/dp/2340005973?SubscriptionId=AKIAJGGEZEDCGVL","https://images-eu.ssl-images-amazon.com/images/I/41qXlL7znTL.jpg","9782340005976","2340005973","NULL","NULL"
"52","2251012427","Lettres à Lucilius, tome 1 : Lettres I - IV","https://www.amazon.fr/Lettres-%C3%A0-Lucilius-IV/dp/2251012427?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=x","https://images-eu.ssl-images-amazon.com/images/I/41FBESVPKPL.jpg","9782251012421","2251012427","NULL","NULL"
"53","2251799370","La Conjuration de Catilina","https://www.amazon.fr/Conjuration-Catilina-Salluste/dp/2251799370?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCod","https://images-eu.ssl-images-amazon.com/images/I/51F4G4ATTBL.jpg","9782251799377","2251799370","NULL","NULL"
"54","2221071271","Entretiens, Lettres à Lucilius","https://www.amazon.fr/Entretiens-Lettres-%C3%A0-Lucilius-S%C3%A9n%C3%A8que/dp/2221071271?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag","https://images-eu.ssl-images-amazon.com/images/I/41RXH9RDMTL.jpg","9782221071274","2221071271","NULL","NULL"
"55","2221075994","L'Iliade et l'Odyssée","https://www.amazon.fr/LIliade-lOdyss%C3%A9e-Hom%C3%A8re/dp/2221075994?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&lin","https://images-eu.ssl-images-amazon.com/images/I/51YVHCTQ0PL.jpg","9782221075999","2221075994","NULL","NULL"
"56","2707319007","Les Bacchantes","https://www.amazon.fr/Bacchantes-Euripide/dp/2707319007?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&camp","https://images-eu.ssl-images-amazon.com/images/I/31y64-3fB-L.jpg","9782707319005","2707319007","NULL","NULL"
"57","2251001964","Ménandre. Le Dyscolos, tome 1-2ème partie","https://www.amazon.fr/M%C3%A9nandre-Dyscolos-1-2%C3%A8me-partie-M%C3%A9nandre/dp/2251001964?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&","https://images-eu.ssl-images-amazon.com/images/I/31XPIgUff0L.jpg","9782251001968","2251001964","NULL","NULL"
"58","2070393445","Théogonie - Les Travaux et les Jours - Bouclier","https://www.amazon.fr/Th%C3%A9ogonie-Travaux-Jours-Bouclier-H%C3%A9siode/dp/2070393445?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=a","https://images-eu.ssl-images-amazon.com/images/I/51uKpzBoE%2BL.jpg","9782070393442","2070393445","NULL","NULL"
"59","2363080068","Lysistrata","https://www.amazon.fr/Lysistrata-Aristophane/dp/2363080068?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&c","https://images-eu.ssl-images-amazon.com/images/I/41MonHrao2L.jpg","9782363080066","2363080068","NULL","NULL"
"60","2729881425","La Famille. Thème ENS 2013","https://www.amazon.fr/Famille-Th%C3%A8me-ENS-2013/dp/2729881425?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=","https://images-eu.ssl-images-amazon.com/images/I/41VC4u7UdWL.jpg","9782729881429","2729881425","NULL","NULL"
"61","2251800220","Iliade (3 volumes sous coffret): Version intégrale","https://www.amazon.fr/Iliade-volumes-sous-coffret-int%C3%A9grale/dp/2251800220?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonaute","https://images-eu.ssl-images-amazon.com/images/I/517g-0ky9BL.jpg","9782251800226","2251800220","NULL","NULL"
"62","2070401537","Lettres d'amour: Les Héroïdes","https://www.amazon.fr/Lettres-damour-H%C3%A9ro%C3%AFdes-Ovide/dp/2070401537?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-","https://images-eu.ssl-images-amazon.com/images/I/518E007YVgL.jpg","9782070401536","2070401537","NULL","NULL"
"63","2251446419","Imperator: Diriger en Grèce et à Rome","https://www.amazon.fr/Imperator-Diriger-Gr%C3%A8ce-%C3%A0-Rome/dp/2251446419?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr","https://images-eu.ssl-images-amazon.com/images/I/51rfK9-yJyL.jpg","9782251446417","2251446419","NULL","NULL"
"64","B071S116GN","Tibère","https://www.amazon.fr/Tib%C3%A8re-Robert-Turcan-ebook/dp/B071S116GN?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkC","https://images-eu.ssl-images-amazon.com/images/I/41x9Xts76XL.jpg","NULL","NULL","NULL","NULL"
"65","2251001166","Tragédies - Tome II : Agamemnon - Les Choéphores - Les Euménides","https://www.amazon.fr/Trag%C3%A9dies-II-Agamemnon-Cho%C3%A9phores-Eum%C3%A9nides/dp/2251001166?SubscriptionId=AKIAJGGEZEDCGVLJYV","https://images-eu.ssl-images-amazon.com/images/I/3115RY9B0hL.jpg","9782251001166","2251001166","NULL","NULL"
"66","2711600335","La Clef des songes","https://www.amazon.fr/Clef-songes-Art%C3%A9midore-dEph%C3%A8se/dp/2711600335?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr","https://images-eu.ssl-images-amazon.com/images/I/31kvNDZ8GPL.jpg","9782711600335","2711600335","NULL","NULL"
"67","2221068009","Dictionnaire de l'Antiquité : Mythologie, littérature, civilisation","https://www.amazon.fr/Dictionnaire-lAntiquit%C3%A9-Mythologie-litt%C3%A9rature-civilisation/dp/2221068009?SubscriptionId=AKIAJGG","https://images-eu.ssl-images-amazon.com/images/I/51DTKbilYmL.jpg","9782221068007","2221068009","NULL","NULL"
"68","2070426289","Anthologie de la littérature latine","https://www.amazon.fr/Anthologie-litt%C3%A9rature-latine-Jacques-Gaillard/dp/2070426289?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=","https://images-eu.ssl-images-amazon.com/images/I/51cNUAu9gzL.jpg","9782070426287","2070426289","NULL","NULL"
"69","2743629665","Comment tirer profit de ses ennemis : Suivi de Sur la manière de distinguer le flatteur d'avec l'ami","https://www.amazon.fr/Comment-tirer-profit-ses-ennemis/dp/2743629665?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&link","https://images-eu.ssl-images-amazon.com/images/I/51cjMbYpjmL.jpg","9782743629663","2743629665","NULL","NULL"
"70","2218986728","Oeuvre complète Latin Tle éd. 2015 Phèdre (Sénèque) - Livre de l'élève","https://www.amazon.fr/Oeuvre-compl%C3%A8te-Latin-Ph%C3%A8dre-S%C3%A9n%C3%A8que/dp/2218986728?SubscriptionId=AKIAJGGEZEDCGVLJYVUA","https://images-eu.ssl-images-amazon.com/images/I/517i4TfG7pL.jpg","9782218986727","2218986728","NULL","NULL"
"71","2742736441","De viris illustribus urbis romae (nouvelle édition)","https://www.amazon.fr/viris-illustribus-urbis-nouvelle-%C3%A9dition/dp/2742736441?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artona","https://images-eu.ssl-images-amazon.com/images/I/51bmJswAv2L.jpg","9782742736447","2742736441","NULL","NULL"
"72","2080711296","Lettres : Livres I à X","https://www.amazon.fr/Lettres-Livres-I-%C3%A0-X/dp/2080711296?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm","https://images-eu.ssl-images-amazon.com/images/I/41MGV74FBXL.jpg","9782080711298","2080711296","NULL","NULL"
"73","2251799974","Économique","https://www.amazon.fr/%C3%89conomique-X%C3%A9nophon/dp/2251799974?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCod","https://images-eu.ssl-images-amazon.com/images/I/41iENKlJUkL.jpg","9782251799971","2251799974","NULL","NULL"
"74","2251800263","Catilinaires","https://www.amazon.fr/Catilinaires-Cic%C3%A9ron/dp/2251800263?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm","https://images-eu.ssl-images-amazon.com/images/I/51hkhEOIuYL.jpg","9782251800264","2251800263","NULL","NULL"
"75","2070105660","Euripide : Théâtre complet","https://www.amazon.fr/Euripide-Th%C3%A9%C3%A2tre-complet/dp/2070105660?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&li","https://images-eu.ssl-images-amazon.com/images/I/31hU0GCnxTL.jpg","9782070105663","2070105660","NULL","NULL"
"76","2081376350","De la nécessité du grec et du latin","https://www.amazon.fr/n%C3%A9cessit%C3%A9-grec-latin-Alain-Rey/dp/2081376350?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr","https://images-eu.ssl-images-amazon.com/images/I/41KvtTIDi8L.jpg","9782081376359","2081376350","NULL","NULL"
"77","207011385X","Aristophane : Théâtre complet","https://www.amazon.fr/Aristophane-Th%C3%A9%C3%A2tre-complet/dp/207011385X?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21","https://images-eu.ssl-images-amazon.com/images/I/31Gv0nU3C3L.jpg","9782070113859","207011385X","NULL","NULL"
"78","2742734198","Les Métamorphoses","https://www.amazon.fr/M%C3%A9tamorphoses-Ovide/dp/2742734198?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2","https://images-eu.ssl-images-amazon.com/images/I/51DYJIv0E2L.jpg","9782742734191","2742734198","NULL","NULL"
"79","2070735397","Histoire","https://www.amazon.fr/Histoire-Polybe/dp/2070735397?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2&camp=202","https://images-eu.ssl-images-amazon.com/images/I/51cKMj%2BXjIL.jpg","9782070735396","2070735397","NULL","NULL"
